Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad,id,agegroup,weekday_name,month_name,hour
56.57,44.0,74180.05,218.22,Grass-roots empowering paradigm,Hubbardmouth,0,American Samoa,2016-02-15 16:52:04,0,2937,41-50,Monday,February,16
75.55,26.0,59240.24,140.46,Multi-layered fresh-thinking neural-net,West Gregburgh,0,Angola,2016-01-03 07:13:53,0,2938,21-30,Sunday,January,7
46.61,41.0,64828.0,120.63,Function-based optimizing protocol,Port Katelynview,0,El Salvador,2016-02-27 15:04:52,1,2939,41-50,Saturday,February,15
46.28,26.0,46033.73,228.78,Business-focused real-time toolset,East Kevinbury,1,Hong Kong,2016-01-08 19:38:45,0,2940,21-30,Friday,January,19
83.67,44.0,57846.68,227.63,Robust responsive collaboration,New Travistown,0,Bulgaria,2016-04-04 07:07:46,1,2941,41-50,Monday,April,7
80.3,28.0,53058.91,180.88,Re-engineered non-volatile neural-net,Jamiefort,0,Ghana,2016-01-14 14:00:09,1,2942,21-30,Thursday,January,14
81.75,19.0,62060.11,113.53,Function-based incremental standardization,Jamesville,0,Burundi,2016-03-11 00:05:48,0,2943,<20,Friday,March,0
41.73,25.0,50671.6,241.03,Team-oriented zero-defect initiative,New Tina,1,Georgia,2016-04-28 02:55:10,0,2944,21-30,Thursday,April,2
51.24,36.0,76003.47,140.46,Up-sized incremental encryption,North Randy,0,Liechtenstein,2016-01-03 16:01:40,1,2945,31-40,Sunday,January,16
81.75,24.0,52252.91,182.2,Profound optimizing utilization,West James,0,Bahrain,2016-03-03 22:31:16,0,2946,21-30,Thursday,March,22
56.39,46.0,41768.13,229.22,Automated stable help-desk,Shelbyport,1,Czech Republic,2016-02-28 23:10:32,1,2947,41-50,Sunday,February,23
63.26,42.0,58151.87,120.75,Virtual 5thgeneration neural-net,Novaktown,1,United Kingdom,2016-02-19 13:26:24,0,2948,41-50,Friday,February,13
66.08,46.0,39939.39,212.92,Synergistic stable infrastructure,Youngfort,0,Saudi Arabia,2016-02-27 20:20:25,1,2949,41-50,Saturday,February,20
55.6,24.0,64698.58,178.92,Business-focused transitional solution,Lisafort,1,Algeria,2016-03-18 13:22:35,0,2950,21-30,Friday,March,13
44.98,34.0,20592.99,168.34,Cloned explicit middleware,Jamesville,0,Eritrea,2016-03-11 00:05:48,0,2951,31-40,Friday,March,0
82.07,22.0,63363.04,187.76,Exclusive even-keeled moratorium,Combsstad,0,Angola,2016-07-05 18:59:45,0,2952,21-30,Tuesday,July,18
78.36,50.0,43974.49,123.13,Team-oriented dynamic forecast,Gilbertville,0,Malawi,2016-04-04 07:07:46,1,2953,41-50,Monday,April,7
46.14,31.0,27262.51,204.79,Sharable reciprocal project,Lake Brian,0,American Samoa,2016-05-06 21:07:31,0,2954,31-40,Friday,May,21
75.42,30.0,66574.0,111.94,Business-focused transitional solution,Williamport,1,Bolivia,2016-05-08 10:25:08,0,2955,21-30,Sunday,May,10
59.59,55.0,62784.85,201.15,Advanced modular Local Area Network,Hubbardmouth,0,Tonga,2016-04-21 09:30:35,1,2956,51-60,Thursday,April,9
41.73,28.0,75044.35,207.17,Intuitive exuding service-desk,North Aaronburgh,0,Ghana,2016-05-08 22:24:27,0,2957,21-30,Sunday,May,22
63.45,24.0,61601.05,182.2,Monitored content-based implementation,East Carlos,0,Algeria,2016-03-24 09:34:00,0,2958,21-30,Thursday,March,9
75.03,34.0,59785.94,183.82,Function-based incremental standardization,New Tinamouth,0,Turkmenistan,2016-04-27 04:28:17,1,2959,31-40,Wednesday,April,4
41.73,34.0,34191.23,160.03,Cloned explicit middleware,Randolphport,1,Saint Vincent and the Grenadines,2016-02-27 08:52:50,1,2960,31-40,Saturday,February,8
82.07,43.0,53647.81,122.31,Reverse-engineered maximized focus group,Port Jeffrey,0,Cambodia,2016-03-30 23:40:52,1,2961,41-50,Wednesday,March,23
59.05,48.0,43974.49,212.38,Integrated coherent pricing structure,Burgessside,0,Heard Island and McDonald Islands,2016-07-17 01:13:56,1,2962,41-50,Sunday,July,1
35.61,27.0,47575.44,214.42,Monitored dynamic instruction set,Garciatown,0,Ukraine,2016-02-26 19:48:23,0,2963,21-30,Friday,February,19
47.74,29.0,53431.35,217.1,Managed client-server access,West Shannon,1,Algeria,2016-01-14 00:23:10,0,2964,21-30,Thursday,January,0
79.54,41.0,50628.31,158.42,Synergistic reciprocal attitude,Angelhaven,1,Micronesia,2016-05-31 23:42:26,1,2965,41-50,Tuesday,May,23
40.04,23.0,50723.67,172.81,Team-oriented executive core,Hubbardmouth,0,Serbia,2016-07-23 06:18:51,0,2966,21-30,Saturday,July,6
65.07,22.0,73882.91,121.07,Customizable modular Internet solution,Port Sarahhaven,0,United States of America,2016-07-03 04:11:40,0,2967,21-30,Sunday,July,4
39.96,26.0,63430.33,241.03,Synergized intangible open system,West Aprilport,0,Faroe Islands,2016-03-08 18:00:43,0,2968,21-30,Tuesday,March,18
41.73,31.0,57739.03,207.17,Sharable reciprocal project,West Angelabury,1,Singapore,2016-07-09 11:18:02,0,2969,31-40,Saturday,July,11
37.87,40.0,41232.89,123.51,Total 5thgeneration standardization,New Travistown,0,Uganda,2016-04-22 22:01:21,1,2970,31-40,Friday,April,22
53.68,36.0,25682.65,239.94,Synergized coherent interface,Lake Patrick,1,Korea,2016-07-08 03:47:41,0,2971,31-40,Friday,July,3
54.88,22.0,31215.88,156.36,Profit-focused secondary portal,Sarahland,0,Austria,2016-04-09 16:31:15,0,2972,21-30,Saturday,April,16
55.6,32.0,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Latvia,2016-01-09 03:45:19,0,2973,31-40,Saturday,January,3
43.49,37.0,67132.46,129.31,Profound dynamic attitude,East Tammie,0,Cook Islands,2016-01-03 17:10:05,0,2974,31-40,Sunday,January,17
54.97,33.0,68094.85,230.95,Synchronized multi-tasking ability,East Carlos,0,Indonesia,2016-06-10 11:31:33,0,2975,31-40,Friday,June,11
56.3,39.0,55121.65,143.79,User-friendly client-server instruction set,North Katie,1,American Samoa,2016-01-01 15:14:24,1,2976,31-40,Friday,January,15
61.09,26.0,56694.12,190.17,Optional secondary access,East Kevinbury,0,Senegal,2016-07-05 18:59:45,0,2977,21-30,Tuesday,July,18
69.62,34.0,34191.23,114.53,Cloned explicit middleware,Kingshire,1,Equatorial Guinea,2016-03-11 00:05:48,0,2978,31-40,Friday,March,0
68.01,33.0,56782.18,120.75,Quality-focused zero tolerance matrices,Lake Susan,0,Burundi,2016-06-21 13:15:21,0,2979,31-40,Tuesday,June,13
56.16,29.0,72203.96,136.18,Programmable uniform website,West Shannon,1,Australia,2016-01-05 16:26:44,0,2980,21-30,Tuesday,January,16
65.59,28.0,68448.94,258.62,Seamless cohesive conglomeration,New Brandy,1,Libyan Arab Jamahiriya,2016-03-08 00:37:54,1,2981,21-30,Tuesday,March,0
80.31,31.0,61840.26,207.17,Sharable reciprocal project,New Michael,1,Singapore,2016-07-09 11:18:02,0,2982,31-40,Saturday,July,11
36.56,52.0,33951.63,218.61,Visionary asymmetric encryption,Taylorhaven,1,Portugal,2016-06-16 02:01:24,1,2983,51-60,Thursday,June,2
60.23,41.0,57846.68,227.63,Distributed maximized ability,Lake Jose,0,El Salvador,2016-01-27 18:25:42,1,2984,41-50,Wednesday,January,18
74.06,47.0,60283.98,168.34,Cloned explicit middleware,New Tinamouth,0,Samoa,2016-04-27 04:28:17,1,2985,41-50,Wednesday,April,4
79.52,44.0,48335.2,137.24,Realigned intermediate application,New Travistown,0,Micronesia,2016-02-16 12:05:45,1,2986,41-50,Tuesday,February,12
41.73,31.0,59886.58,207.17,Sharable reciprocal project,Lake Brian,1,Bosnia and Herzegovina,2016-06-16 02:01:24,0,2987,31-40,Thursday,June,2
68.88,42.0,59243.46,143.13,Function-based fault-tolerant model,Hubbardmouth,1,Czech Republic,2016-05-13 11:57:12,1,2988,41-50,Friday,May,11
54.47,35.0,73889.99,226.54,Secured secondary superstructure,Phelpschester,1,Hong Kong,2016-07-02 20:23:15,0,2989,31-40,Saturday,July,20
80.47,38.0,57868.44,170.13,Virtual bandwidth-monitored initiative,Stewartbury,0,Lao People's Democratic Republic,2016-05-19 14:30:17,1,2990,31-40,Thursday,May,14
79.52,31.0,59886.58,133.17,Integrated interactive support,Micheletown,1,Palestinian Territory,2016-06-10 10:11:00,1,2991,31-40,Friday,June,10
80.31,31.0,56180.93,207.17,Profound executive flexibility,Dustinchester,0,Bouvet Island (Bouvetoya),2016-07-15 05:05:14,0,2992,31-40,Friday,July,5
69.86,33.0,49101.67,120.75,Diverse modular interface,West Connor,1,Niger,2016-07-03 04:11:40,0,2993,31-40,Sunday,July,4
49.21,30.0,48918.55,140.46,De-engineered attitude-oriented projection,West Roytown,0,Cameroon,2016-07-18 01:36:37,0,2994,21-30,Monday,July,1
54.88,43.0,32635.7,167.86,Reverse-engineered maximized focus group,East Breannafurt,1,Northern Mariana Islands,2016-04-03 21:13:46,1,2995,41-50,Sunday,April,21
86.06,32.0,55424.24,172.83,Focused upward-trending core,Lisafort,0,Venezuela,2016-04-28 22:54:37,0,2996,31-40,Thursday,April,22
89.05,25.0,50671.6,141.89,Reactive composite project,Hansenmouth,1,Hong Kong,2016-04-28 02:55:10,0,2997,21-30,Thursday,April,2
82.07,33.0,74535.94,162.03,Progressive non-volatile neural-net,Silvaton,0,Macedonia,2016-02-21 05:23:28,0,2998,31-40,Sunday,February,5
80.51,48.0,62784.85,212.38,Function-based context-sensitive secured line,Gilbertville,1,Turkey,2016-07-17 01:13:56,1,2999,41-50,Sunday,July,1
37.0,30.0,33293.78,228.81,Total 5thgeneration standardization,Lake Matthewland,0,Guinea,2016-07-21 10:54:35,1,3000,21-30,Thursday,July,10
83.47,34.0,59785.94,160.03,Cloned explicit middleware,Patriciahaven,0,Turkmenistan,2016-03-11 00:05:48,0,3001,31-40,Friday,March,0
66.12,37.0,67132.46,181.25,Centralized logistical secured line,South Patrickfort,0,Gabon,2016-01-08 22:47:10,0,3002,31-40,Friday,January,22
84.98,32.0,69481.85,178.92,Business-focused transitional solution,Port Gregory,1,Saudi Arabia,2016-06-09 21:43:05,1,3003,31-40,Thursday,June,21
51.38,28.0,71222.4,180.88,Inverse local hub,Reyesfurt,0,Gabon,2016-04-24 07:20:16,0,3004,21-30,Sunday,April,7
37.0,25.0,50671.6,178.85,Pre-emptive next generation Internet solution,Combsstad,1,Georgia,2016-03-18 13:00:12,0,3005,21-30,Friday,March,13
47.64,29.0,64267.88,129.33,Grass-roots mission-critical emulation,Mullenside,0,Senegal,2016-02-03 19:12:51,1,3006,21-30,Wednesday,February,19
40.04,23.0,60514.05,172.81,Team-oriented executive core,Hubbardmouth,1,Czech Republic,2016-02-15 16:52:04,0,3007,21-30,Monday,February,16
44.4,30.0,57877.15,172.83,Synchronized systemic hierarchy,Kristinfurt,0,Bahamas,2016-02-17 13:16:33,0,3008,21-30,Wednesday,February,13
55.6,24.0,52252.91,172.83,Business-focused transitional solution,Lisafort,1,Algeria,2016-03-30 14:36:55,0,3009,21-30,Wednesday,March,14
56.16,30.0,57877.15,172.83,Total 5thgeneration standardization,Kristinfurt,0,Bolivia,2016-06-29 10:50:45,0,3010,21-30,Wednesday,June,10
41.73,23.0,32252.38,217.37,Synchronized user-facing core,West Joseph,1,Ethiopia,2016-01-05 16:26:44,0,3011,21-30,Tuesday,January,16
55.6,54.0,50333.72,161.16,Automated stable help-desk,Westshire,0,Australia,2016-01-16 23:37:51,1,3012,51-60,Saturday,January,23
55.6,39.0,19991.72,258.62,Vision-oriented attitude-oriented Internet solution,Jonathanland,0,Poland,2016-02-03 07:59:16,1,3013,31-40,Wednesday,February,7
39.36,23.0,59785.94,204.22,Team-oriented transitional methodology,New Tinamouth,0,Samoa,2016-06-13 22:41:45,0,3014,21-30,Monday,June,22
70.29,24.0,52252.91,182.2,Multi-lateral multi-state encryption,West Ricardo,0,El Salvador,2016-05-24 13:30:38,1,3015,21-30,Tuesday,May,13
80.51,55.0,57014.84,187.76,Function-based context-sensitive secured line,Hubbardmouth,0,Netherlands,2016-04-21 09:30:35,1,3016,51-60,Thursday,April,9
55.6,35.0,73889.99,236.87,Optional multi-state hardware,Wrightburgh,0,Myanmar,2016-07-18 01:36:37,0,3017,31-40,Monday,July,1
89.05,44.0,57846.68,163.48,Fully-configurable neutral open system,Wintersfort,1,Turkey,2016-07-06 23:09:07,1,3018,41-50,Wednesday,July,23
44.4,53.0,57877.15,111.94,Business-focused transitional solution,New Tinamouth,1,Bolivia,2016-04-22 00:28:18,1,3019,51-60,Friday,April,0
88.04,26.0,56694.12,190.17,Reverse-engineered context-sensitive emulation,New Travistown,0,Tonga,2016-05-25 20:10:02,1,3020,21-30,Wednesday,May,20
43.49,27.0,36884.23,171.07,Decentralized needs-based analyzer,Jordantown,1,Switzerland,2016-03-09 14:57:11,0,3021,21-30,Wednesday,March,14
55.6,54.0,53188.69,240.63,Proactive 5thgeneration frame,Williamsport,0,Palestinian Territory,2016-01-08 09:32:26,1,3022,51-60,Friday,January,9
54.88,43.0,39616.0,120.75,Compatible composite project,West Chloeborough,1,Vanuatu,2016-03-24 06:36:52,0,3023,41-50,Thursday,March,6
82.07,22.0,54774.77,187.76,Profit-focused secondary portal,Combsstad,0,Austria,2016-03-04 14:10:12,0,3024,21-30,Friday,March,14
71.84,31.0,56180.93,207.17,De-engineered tertiary secured line,New Michael,0,Madagascar,2016-07-09 11:18:02,0,3025,31-40,Saturday,July,11
80.31,28.0,71222.4,217.37,Inverse local hub,South Jade,0,Gabon,2016-02-29 23:56:06,0,3026,21-30,Monday,February,23
59.59,34.0,59785.94,168.34,Cloned explicit middleware,New Tinamouth,0,Turkmenistan,2016-02-27 08:52:50,1,3027,31-40,Saturday,February,8
86.06,35.0,73889.99,221.18,Total cohesive moratorium,Austinland,1,Niger,2016-03-18 13:22:35,0,3028,31-40,Friday,March,13
52.68,32.0,55424.24,178.92,Business-focused transitional solution,Lisafort,1,Latvia,2016-03-31 20:55:22,0,3029,31-40,Thursday,March,20
40.04,26.0,35521.88,131.68,Reactive bi-directional workforce,Shelbyport,1,United States Virgin Islands,2016-01-05 16:26:44,0,3030,21-30,Tuesday,January,16
61.22,45.0,59610.81,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,2016-03-05 12:03:41,1,3031,41-50,Saturday,March,12
66.12,28.0,53431.35,230.52,Cloned object-oriented benchmark,Westshire,0,Liberia,2016-05-08 22:24:27,1,3032,21-30,Sunday,May,22
60.72,28.0,67669.06,217.37,Sharable reciprocal project,Kennedyfurt,0,Serbia,2016-07-21 10:01:50,0,3033,21-30,Thursday,July,10
46.61,40.0,27086.4,158.42,Decentralized foreground infrastructure,South Cynthiashire,1,French Guiana,2016-01-17 18:45:55,1,3034,31-40,Sunday,January,18
43.49,47.0,73049.3,195.69,Stand-alone motivating moratorium,Williamsmouth,1,Afghanistan,2016-03-11 00:05:48,0,3035,41-50,Friday,March,0
65.07,34.0,34191.23,160.03,Cloned explicit middleware,Mauriceshire,1,Equatorial Guinea,2016-03-11 00:05:48,0,3036,31-40,Friday,March,0
80.3,52.0,33951.63,186.37,Self-enabling local strategy,South Jaimeview,0,Cote d'Ivoire,2016-04-04 08:19:54,1,3037,51-60,Monday,April,8
81.58,41.0,50628.31,255.57,Optimized upward-trending productivity,Morganport,1,Turkey,2016-05-13 11:57:12,1,3038,41-50,Friday,May,11
80.47,48.0,66291.67,156.97,Function-based context-sensitive secured line,Hubbardmouth,1,Northern Mariana Islands,2016-01-15 22:49:45,1,3039,41-50,Friday,January,22
82.7,25.0,50723.67,158.29,Innovative user-facing extranet,Nelsonfurt,1,Zimbabwe,2016-03-18 13:00:12,0,3040,21-30,Friday,March,13
70.09,45.0,74903.41,124.67,Secured 24hour policy,Wintersfort,0,Taiwan,2016-03-05 12:03:41,1,3041,41-50,Saturday,March,12
46.61,41.0,70492.6,234.26,Optimized upward-trending productivity,East Maureen,1,United States of America,2016-05-31 23:42:26,1,3042,41-50,Tuesday,May,23
67.71,49.0,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,0,Netherlands,2016-04-04 20:01:12,1,3043,41-50,Monday,April,20
52.84,42.0,60514.05,199.43,Public-key disintermediate emulation,West Amanda,1,Czech Republic,2016-05-19 14:30:17,1,3044,41-50,Thursday,May,14
72.07,25.0,50671.6,141.89,Persistent homogeneous framework,New Tina,1,Hong Kong,2016-05-24 09:50:41,0,3045,21-30,Tuesday,May,9
35.61,30.0,54324.73,140.15,Cross-platform logistical pricing structure,Lake Jessicaville,0,Cambodia,2016-07-21 10:54:35,1,3046,21-30,Thursday,July,10
39.96,45.0,59886.58,174.88,Exclusive client-driven model,East Kevinbury,0,Tonga,2016-03-14 04:34:35,1,3047,41-50,Monday,March,4
51.24,36.0,29398.61,140.46,Versatile transitional monitoring,North Randy,0,Uganda,2016-01-05 11:53:17,1,3048,31-40,Tuesday,January,11
46.61,45.0,67575.12,174.88,Secured 24hour policy,Wintersfort,0,Taiwan,2016-03-05 12:03:41,1,3049,41-50,Saturday,March,12
62.42,43.0,27241.11,198.45,Focused coherent success,Wilcoxport,1,Turkey,2016-04-03 21:13:46,1,3050,41-50,Sunday,April,21
45.7,45.0,60315.19,110.66,Enhanced homogeneous moderator,West Steven,1,Bosnia and Herzegovina,2016-01-17 09:31:36,1,3051,41-50,Sunday,January,9
60.23,41.0,50628.31,126.39,Realigned next generation projection,Michaelmouth,1,Turkey,2016-05-13 11:57:12,1,3052,41-50,Friday,May,11
78.84,36.0,59240.24,176.7,Up-sized incremental encryption,West James,0,Ukraine,2016-02-26 19:48:23,0,3053,31-40,Friday,February,19
85.62,24.0,52252.91,182.2,Monitored content-based implementation,East Carlos,0,Algeria,2016-04-28 22:54:37,0,3054,21-30,Thursday,April,22
39.3,32.0,55424.24,172.83,Focused upward-trending core,New Darlene,0,Fiji,2016-04-28 22:54:37,0,3055,31-40,Thursday,April,22
62.14,42.0,66025.11,243.61,Innovative interactive portal,Lake Jennifer,1,Czech Republic,2016-04-01 09:21:14,1,3056,41-50,Friday,April,9
49.21,30.0,54286.1,222.11,Synchronized systemic hierarchy,Olsonside,0,Qatar,2016-04-24 07:20:16,0,3057,21-30,Sunday,April,7
70.29,32.0,69481.85,178.92,Business-focused transitional solution,Mauriceshire,1,Somalia,2016-01-09 03:45:19,0,3058,31-40,Saturday,January,3
65.77,26.0,46033.73,180.47,Mandatory homogeneous architecture,Vanessaview,0,Serbia,2016-02-15 16:52:04,1,3059,21-30,Monday,February,16
40.47,36.0,76003.47,140.46,Up-sized incremental encryption,Garciaside,0,Montenegro,2016-02-26 19:48:23,0,3060,31-40,Friday,February,19
65.56,52.0,58966.22,229.12,Programmable uniform website,Penatown,0,Cuba,2016-01-05 16:26:44,1,3061,51-60,Tuesday,January,16
81.58,43.0,57846.68,121.28,Reverse-engineered maximized focus group,North Kimberly,0,Bangladesh,2016-04-17 21:39:11,1,3062,41-50,Sunday,April,21
47.64,29.0,69718.19,186.37,Self-enabling local strategy,East Tiffanyport,0,Belgium,2016-04-04 08:19:54,1,3063,21-30,Monday,April,8
55.6,24.0,52252.91,167.22,Reverse-engineered context-sensitive emulation,West Ricardo,0,El Salvador,2016-01-12 21:17:15,1,3064,21-30,Tuesday,January,21
40.04,23.0,55121.65,172.81,Function-based transitional complexity,Patriciahaven,0,Serbia,2016-02-15 16:52:04,0,3065,21-30,Monday,February,16
59.05,48.0,52736.33,212.38,Function-based context-sensitive secured line,Burgessside,1,Turkey,2016-07-17 01:13:56,1,3066,41-50,Sunday,July,1
83.86,50.0,41547.62,178.92,Customizable tangible hierarchy,Samanthaland,1,Luxembourg,2016-01-18 02:51:13,0,3067,41-50,Monday,January,2
41.73,26.0,74903.41,228.78,Reactive demand-driven capacity,East Kevinbury,1,Albania,2016-03-11 06:49:10,0,3068,21-30,Friday,March,6
55.6,39.0,42993.48,221.18,Total directional approach,New Brandy,1,Luxembourg,2016-05-08 22:24:27,1,3069,31-40,Sunday,May,22
90.75,34.0,59785.94,160.03,Cloned explicit middleware,Hawkinsbury,0,Turkmenistan,2016-03-11 00:05:48,0,3070,31-40,Friday,March,0
65.59,39.0,37334.78,221.79,Organized global flexibility,Hannaport,1,Luxembourg,2016-04-07 15:18:10,0,3071,31-40,Thursday,April,15
46.61,34.0,34191.23,140.67,Team-oriented transitional methodology,Williamsmouth,1,Norfolk Island,2016-03-04 10:13:48,1,3072,31-40,Friday,March,10
55.6,29.0,53673.08,208.05,Mandatory coherent groupware,South Meghan,0,Burundi,2016-03-09 00:41:46,0,3073,21-30,Wednesday,March,0
33.33,45.0,59886.58,137.24,Enhanced homogeneous moderator,Wintersfort,1,Bosnia and Herzegovina,2016-03-05 12:03:41,1,3074,41-50,Saturday,March,12
74.59,51.0,60953.93,215.18,Optional multi-state hardware,Wrightburgh,0,Mauritania,2016-07-03 09:22:30,0,3075,51-60,Sunday,July,9
56.39,46.0,40468.53,153.76,Configurable tertiary capability,East Brittanyville,0,Czech Republic,2016-04-15 15:07:17,1,3076,41-50,Friday,April,15
89.05,50.0,57868.44,163.48,Focused coherent success,Yangside,1,Turkey,2016-04-03 21:13:46,1,3077,41-50,Sunday,April,21
84.59,28.0,71222.4,180.88,Intuitive exuding service-desk,Jamiefort,0,Ghana,2016-07-09 16:23:33,0,3078,21-30,Saturday,July,16
39.36,31.0,56180.93,207.17,Sharable reciprocal project,New Michael,0,Singapore,2016-06-21 14:32:32,0,3079,31-40,Tuesday,June,14
80.31,42.0,43241.19,238.58,Function-based transitional complexity,Hubbardmouth,0,Czech Republic,2016-07-19 12:05:58,1,3080,41-50,Tuesday,July,12
40.04,34.0,59785.94,160.03,Cloned explicit middleware,Davidstad,0,Turkmenistan,2016-03-11 00:05:48,0,3081,31-40,Friday,March,0
69.88,34.0,34191.23,160.03,Cloned explicit middleware,New Tinamouth,1,Hungary,2016-02-27 08:52:50,1,3082,31-40,Saturday,February,8
67.91,31.0,57739.03,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,1,Hong Kong,2016-01-08 19:38:45,0,3083,31-40,Friday,January,19
39.96,26.0,67575.12,131.68,Progressive empowering alliance,Shelbyport,0,Albania,2016-06-29 13:35:05,0,3084,21-30,Wednesday,June,13
56.3,37.0,32252.38,217.37,Realigned global initiative,North Wesleychester,0,Croatia,2016-05-30 18:08:19,0,3085,31-40,Monday,May,18
49.21,30.0,74535.94,140.46,De-engineered attitude-oriented projection,South Adamhaven,0,Qatar,2016-04-13 13:04:47,0,3086,21-30,Wednesday,April,13
41.73,31.0,61840.26,207.17,Optional full-range projection,West Angelabury,1,Croatia,2016-01-14 16:30:38,0,3087,31-40,Thursday,January,16
80.3,49.0,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,1,Australia,2016-04-04 20:01:12,1,3088,41-50,Monday,April,20
43.49,37.0,23936.86,251.08,Up-sized real-time methodology,Jordantown,1,Tokelau,2016-03-23 21:06:51,0,3089,31-40,Wednesday,March,21
82.73,51.0,74535.94,120.37,Vision-oriented real-time framework,Reyesfurt,0,Vanuatu,2016-04-15 10:16:49,1,3090,51-60,Friday,April,10
46.2,34.0,59785.94,160.03,Cloned explicit middleware,New Tinamouth,0,Turkmenistan,2016-02-27 08:52:50,1,3091,31-40,Saturday,February,8
55.79,24.0,58019.64,182.2,Digitized content-based circuit,Port Raymondfort,0,Qatar,2016-02-29 12:31:57,0,3092,21-30,Monday,February,12
55.6,32.0,70505.06,172.83,Focused upward-trending core,Lisafort,0,Kuwait,2016-04-28 22:54:37,0,3093,31-40,Thursday,April,22
54.47,35.0,25603.93,225.58,Profound zero administration instruction set,Bradleyside,0,Qatar,2016-01-05 20:58:42,0,3094,31-40,Tuesday,January,20
64.24,30.0,74535.94,140.46,Configurable tertiary budgetary management,Reyesfurt,0,Qatar,2016-04-13 13:04:47,0,3095,21-30,Wednesday,April,13
61.22,28.0,67669.06,217.37,Inverse local hub,Reyesfurt,0,Gabon,2016-02-26 22:46:43,0,3096,21-30,Friday,February,22
56.39,40.0,73882.91,221.98,Synergized coherent interface,South Cynthiashire,1,Puerto Rico,2016-04-28 18:34:56,1,3097,31-40,Thursday,April,18
80.91,32.0,55424.24,172.83,Focused upward-trending core,Lisafort,1,Latvia,2016-04-28 22:54:37,0,3098,31-40,Thursday,April,22
61.22,45.0,59610.81,137.24,Enhanced homogeneous moderator,Wintersfort,1,Switzerland,2016-07-10 17:24:51,1,3099,41-50,Sunday,July,17
70.39,35.0,36884.23,150.99,Front-line dynamic model,Mosleyburgh,1,Ukraine,2016-07-03 04:11:40,0,3100,31-40,Sunday,July,4
73.72,35.0,51119.93,226.54,Polarized modular function,Kyleborough,1,Moldova,2016-01-01 15:14:24,1,3101,31-40,Friday,January,15
65.59,39.0,65953.76,144.27,Mandatory disintermediate utilization,Lindsaymouth,1,Belize,2016-07-08 03:47:41,0,3102,31-40,Friday,July,3
82.07,43.0,68787.09,121.28,Reverse-engineered maximized focus group,Port Jeffrey,0,Finland,2016-04-17 21:39:11,1,3103,41-50,Sunday,April,21
65.59,54.0,67132.46,217.37,Front-line bandwidth-monitored capacity,Reyesfurt,0,Moldova,2016-03-31 20:55:22,1,3104,51-60,Thursday,March,20
41.73,31.0,61840.26,207.17,Managed zero tolerance concept,West Angelabury,1,Czech Republic,2016-06-16 02:01:24,1,3105,31-40,Thursday,June,2
74.54,41.0,64828.0,156.3,Down-sized background groupware,Garciatown,0,Slovenia,2016-07-06 05:34:52,0,3106,41-50,Wednesday,July,5
55.6,39.0,52416.18,182.2,Intuitive exuding service-desk,Garciatown,0,Cook Islands,2016-06-11 06:47:55,0,3107,31-40,Saturday,June,6
68.94,31.0,56180.93,207.17,Realigned tangible collaboration,East Kevinbury,0,Guam,2016-06-21 14:32:32,0,3108,31-40,Tuesday,June,14
82.07,22.0,48335.2,176.98,Profit-focused secondary portal,Port Katelynview,0,Bulgaria,2016-02-19 20:49:27,0,3109,21-30,Friday,February,20
71.28,54.0,48867.36,135.24,Virtual scalable secured line,East Jennifer,0,Myanmar,2016-06-11 06:47:55,1,3110,51-60,Saturday,June,6
59.05,50.0,43974.49,123.13,Function-based context-sensitive secured line,Lake Susan,0,United States of America,2016-06-03 03:36:18,1,3111,41-50,Friday,June,3
37.45,31.0,58235.21,207.17,Horizontal heuristic support,Port Calvintown,0,Czech Republic,2016-04-12 03:26:39,0,3112,31-40,Tuesday,April,3
84.73,30.0,54324.73,174.88,Total 5thgeneration standardization,New Travistown,0,United States of America,2016-07-21 10:54:35,1,3113,21-30,Thursday,July,10
37.0,30.0,57877.15,244.91,Managed 6thgeneration hierarchy,South Adamhaven,1,Bolivia,2016-05-08 10:25:08,0,3114,21-30,Sunday,May,10
79.54,44.0,48335.2,122.31,Future-proofed fresh-thinking conglomeration,Jacobstad,0,Micronesia,2016-04-20 21:49:22,1,3115,41-50,Wednesday,April,21
40.04,23.0,25739.09,172.81,Networked impactful framework,Hubbardmouth,0,Gabon,2016-02-15 16:52:04,0,3116,21-30,Monday,February,16
51.56,46.0,66504.16,130.86,Configurable tertiary capability,Richardsonshire,0,Australia,2016-04-15 15:07:17,1,3117,41-50,Friday,April,15
71.28,54.0,38609.2,182.2,Focused upward-trending core,Hernandezside,0,Cambodia,2016-03-31 20:55:22,1,3118,51-60,Thursday,March,20
66.12,37.0,53058.91,110.84,Devolved human-resource circuit,Port Whitneyhaven,0,Australia,2016-05-30 18:08:19,0,3119,31-40,Monday,May,18
71.84,31.0,27262.51,143.04,Customer-focused incremental system engine,Harmonhaven,0,Czech Republic,2016-04-15 15:07:17,1,3120,31-40,Friday,April,15
